date,snippet
2017-05-30,"A downturn in car sales after two record years is prompting companies to scale back domestic production, particularly for smaller vehicles It is the first mainstream automaker to sound the death knell of the traditional engine, saying that starting in  all the models it introduces will be either hybrids or powered solely by batteries"
2017-05-31,"It is the latest setback for Jia Yueting, the chairman of the technology company LeEco, after one of its affiliates missed loan payments"
2017-06-01,"American panel makers say belowcost sales by Chinese companies are ruining business If tariffs result, installers and homeowners may suffer instead As the electriccar maker moves to expand its lineup, it said problems with battery manufacturing had held down sales of existing models this year Heres what you need to know to start your day Automakers like BMW and MercedesBenz have failed to expand their market share by offering more variety, joining the industrys overall sales decline"
2017-06-02,The company said foreign production was needed to make its models more affordable overseas Its plan for a plant would require a Chinese partner Heres what you need to know to start your day Its not robot overlords Its economic inequality and a new global order Bridge International Academies  a chain of inexpensive private schools  has ambitious plans to revolutionize education for poor children But can its forprofit model work in some of the most impoverished places on Earth
2017-06-03,"While Norway wants to wean its own citizens off fossil fuels, it remains one of the worlds biggest petroleum producers and is revving up exports Timothy Cook, Jeff Bezos and Eric Schmidt were among  tech executives at a forum held by an administration they have had conflicts with"
2017-06-04,"Andrew Left sniffs out corporate fraud  and gets rich doing it The company, rooted in the most mundane auto products, is remaking itself in an effort to become the technological backbone of selfdriving cars"
2017-06-05,"Santander, Spains largest lender, is to buy Banco Popular, after the European Central Bank determined that the smaller lender was failing or likely to fail"
2017-06-06,Researchers have proved a car can be remotely hacked Now imagine if that car was being driven entirely by a computer
2017-06-07,"Carl Richards answers a readers question about whether he should own Bitcoin The inquisitors friend says he is making big money in the cryptocurrency General Motors beat back a bid to split its stock into two classes, and its upstart electriccar rival overcame a challenge to multiyear board terms Scientists call it the handoff problem How do you keep humans focused enough to take control of a selfdriving car in an emergency As cars become more like computers, cybercriminals will have more ways to get into their important systems"
2017-06-08,"George W Bushs Kyoto withdrawal cemented a perception of unilateralism that haunted his presidency But President Trump has handled the issue differently, if just by chance"
2017-06-09,"Under its chief executive, Mary T Barra, General Motors is redirecting energy and capital toward a race with Silicon Valley to create selfdriving cars"
2017-06-17,"This time, theyre squared off over climate change Also, there was more Uber news"
2017-06-20,"Local firms leaders around the country remain widely supportive of President Trump, even as some chief executives of big corporations pull away"
2017-06-22,"There are reasons  accidents, thefts, insurance questions  why lending services like Turo and Getaround for peoples private vehicles havent taken off The presidents decision to pull out of the Paris climate accord did not go over well with tech industry leaders"
2017-06-24,Do you think Mr Trump made the right choice Why or why not
2017-06-27,President Trump said he would pull the United States out of the climate agreement China may move to fill the void
2017-06-30,Several large corporations quickly expressed dismay with President Trumps decision and said they would continue their environmental efforts
2017-07-03,"White House officials said that they expected him to abandon the landmark global warming agreement, but they also said that decision could change The withdrawal process could take four years to complete, meaning a final decision would be up to the American voters in the next presidential election"
2017-07-04,"The ridehailing service had acquired Anthony Levandowskis company last year He was accused of stealing product plans from his former employer The president said that at  pm Thursday, he would announce his decision on whether the United States would honor the landmark climatechange pact Heres what Mr Trumps decision on the climate change pact says to the world America cares little about science, its allies and competitiveness"
2017-07-05,Heres what you need to know to start your day
